w851	t30685	1
w6991	t30008	0
w4603	t97734	0
w3086	t51776	1
w3265	t23416	0
w748	t21863	0
w7040	t47151	1
w5499	t97069	0
w722	t96220	1
w4456	t15116	1
w6686	t2089	0
w3360	t58443	0
w2519	t5360	0
w3383	t64968	0
w6100	t65997	0
w5960	t65042	0
w6741	t65526	0
w4852	t74817	1
w4130	t40286	0
w795	t22094	0
w1091	t10929	1
w5743	t93679	0
w3102	t82511	1
w611	t75257	0
w4132	t98578	1
w4641	t1079	0
w3641	t87048	1
w5836	t73177	1
w4054	t5011	1
w4386	t11253	1
w2123	t60047	0
w852	t35866	1
w2681	t12929	1
w1150	t35829	1
w3	t30478	1
w5665	t10986	0
w4549	t21760	0
w4245	t46522	0
w1549	t49155	1
w5328	t4802	1
w1139	t93228	1
w5371	t30746	1
w731	t41615	0
w1757	t54124	1
w3745	t42919	1
w136	t93749	1
w5198	t81571	1
w4409	t96841	1
w6853	t606	1
w4304	t87697	0
w5916	t34662	1
w2626	t44119	1
w462	t21636	1
w2685	t79615	0
w3387	t52387	1
w4430	t34665	1
w2340	t25691	0
w3990	t22709	1
w1920	t38871	1
w264	t96927	1
w365	t43554	0
w689	t72998	1
w5336	t11577	0
w4304	t4082	1
w7133	t10410	1
w5514	t56295	0
w4130	t72674	1
w3702	t14198	0
w4941	t12317	1
w4613	t90476	0
w6858	t54520	0
w5467	t76690	1
w309	t91728	0
w2357	t7494	1
w3822	t89077	1
w3004	t36414	1
w3036	t24573	0
w5375	t95583	1
w5328	t81172	0
w1699	t65107	1
w3850	t76226	1
w1249	t33946	1
w2427	t76894	1
w433	t23565	1
w5690	t907	0
w5929	t9144	1
w6416	t88137	1
w5810	t13969	1
w4755	t57420	1
w1449	t47758	1
w3833	t5905	1
w1004	t53690	0
w3704	t56503	0
w6136	t12376	1
w5042	t2361	1
w2284	t4442	0
w3575	t36048	1
w554	t5304	1
w5643	t94074	1
w1684	t17774	1
w2363	t22187	1
w3364	t78417	1
w6181	t14609	1
w4250	t47601	1
w5249	t10716	1
w565	t74750	1
w5983	t15851	1
w6724	t23882	0
w6760	t90247	1
w6463	t68005	1
w3353	t50393	0
w5196	t66912	0
w2630	t1812	0
w6383	t91566	0
w2971	t60495	1
w3801	t85487	0
w1434	t81554	1
w3125	t49864	1
w223	t83632	0
w5799	t80606	0
w5189	t81481	0
w2328	t32601	1
w406	t88431	1
w5601	t85531	1
w3514	t26879	0
w574	t52884	0
w4565	t24933	1
w3045	t15268	0
w1093	t61770	1
w1094	t69408	1
w1638	t19505	1
w779	t15179	0
w6926	t85720	1
w5531	t36459	1
w2705	t95724	0
w784	t16103	0
w2071	t45110	0
w5951	t23368	1
w3083	t17587	0
w1469	t83893	0
w6084	t99019	0
w2617	t2461	1
w7040	t30062	0
w4732	t51078	1
w1392	t33879	1
w1518	t91070	1
w3842	t38827	1
w3432	t81175	0
w1352	t68595	1
w3272	t26336	1
w610	t98317	1
w516	t84061	0
w1559	t63812	1
w2388	t3109	0
w1807	t44444	0
w1646	t22686	1
w5786	t58054	1
w3386	t22192	1
w6383	t32469	1
w5804	t59908	1
w5469	t64632	0
w1508	t1063	1
w6508	t48033	0
w5684	t7567	1
w6523	t33055	0
w1562	t76097	1
w4865	t73349	1
w4826	t64561	1
w2117	t49635	1
w66	t65669	0
w5788	t4953	0
w5210	t42560	0
w869	t74495	1
w3203	t77231	0
w4523	t39075	1
w4693	t68556	1
w4219	t23284	1
w981	t32388	0
w2644	t6489	1
w575	t8781	1
w6433	t2318	0
w5786	t34589	0
w54	t27504	0
w4412	t75133	1
w3411	t99295	1
w5262	t1147	0
w6552	t23316	0
w722	t52235	0
w1102	t6449	1
w6082	t17025	1
w1611	t63777	1
w4721	t36695	1
w1204	t2147	0
w1462	t50642	1
w4963	t57082	1
w6974	t35507	1
w4912	t21936	1
w518	t44237	0
w5969	t26708	1
w5973	t18622	0
w2465	t55201	1
w3353	t61815	1
w4838	t2640	0
w2447	t40957	1
w2414	t12289	1
w235	t30536	1
w889	t80339	1
w116	t5638	0
w5017	t90293	0
w4148	t68704	1
w4386	t21818	1
w1357	t81799	1
w1004	t27733	1
w1740	t64483	1
w1043	t95899	0
w5218	t74700	0
w5333	t48902	0
w5015	t25865	0
w2780	t5946	1
w3208	t20299	0
w2528	t33755	1
w2093	t78437	0
w7123	t29078	0
w2273	t84136	1
w3854	t65399	1
w313	t52471	1
w6853	t57967	0
w5440	t57763	0
w1206	t54168	1
w180	t37127	1
w5460	t85885	1
w6301	t75366	0
w1060	t10477	0
w3032	t63204	0
w4670	t95523	1
w2316	t26611	0
w4005	t65254	0
w3939	t68788	1
w6100	t76618	1
w1835	t77391	1
w2901	t74137	1
w2576	t41259	0
w1730	t32761	0
w6166	t2078	1
w6636	t43416	1
w4946	t93129	0
w5862	t97634	1
w1063	t68955	1
w3641	t49062	0
w3386	t1629	1
w310	t4585	1
w197	t5792	0
w6752	t34066	1
w6798	t40	0
w1433	t6819	1
w6946	t70969	1
w1443	t93465	0
w1545	t59027	0
w2343	t88368	0
w4257	t3097	1
w1125	t66499	0
w3920	t25853	1
w4843	t67503	1
w302	t95687	0
w1360	t1053	0
w5644	t85743	0
w3222	t69934	0
w6972	t51199	0
w128	t43230	0
w94	t86412	0
w5209	t48007	1
w3458	t36357	1
w2571	t6003	1
w5359	t5600	1
w1448	t27794	1
w3622	t60806	0
w6090	t50173	0
w4401	t38579	1
w1273	t24891	0
w4847	t67327	1
w3784	t33253	0
w5226	t7833	1
w606	t38960	0
w4304	t50067	0
w3017	t9528	1
w4455	t98294	0
w4613	t92958	1
w6293	t88915	1
w5103	t40652	0
w4180	t44220	0
w4839	t3706	1
w3804	t4761	1
w962	t73687	0
w4980	t28841	1
w6635	t68443	0
w5333	t26082	1
w6660	t95182	1
w337	t28390	0
w1044	t2643	1
w5105	t40080	0
w554	t32496	0
w5714	t55159	1
w5675	t44559	0
w4172	t56118	1
w4956	t23908	0
w6042	t10947	1
w2856	t79269	0
w6492	t67898	1
w854	t37299	0
w3380	t97028	1
w3272	t43368	1
w3010	t44040	0
w991	t72135	0
w3040	t25398	0
w4039	t14635	1
w2607	t77155	0
w309	t21264	0
w927	t57690	1
w4005	t18039	1
w6776	t94704	1
w5226	t157	0
w3429	t65218	1
w4508	t5559	1
w2484	t63423	1
w5526	t80181	1
w6051	t4395	1
w6415	t17391	1
w7124	t80792	0
w2643	t45002	1
w4563	t92099	0
w5499	t70541	1
w5351	t7422	0
w890	t24490	0
w1998	t31238	0
w3585	t59868	1
w6988	t94020	0
w2096	t72988	0
w3881	t68981	0
w6409	t65330	1
w2553	t66649	0
w4447	t35574	0
w3565	t24165	0
w714	t57263	0
w235	t55814	0
w1376	t23846	1
w171	t37711	0
w5663	t19061	0
w6881	t30920	1
w2591	t82	1
w2530	t66386	1
w7015	t54926	1
w5467	t94274	0
w5289	t16124	1
w1487	t50577	1
w4511	t52252	0
w5532	t2520	1
w6917	t4654	0
w2715	t17464	1
w1914	t27315	0
w878	t63424	0
w6383	t20915	0
w6172	t65217	1
w4667	t74537	1
w4046	t140	0
w6650	t64331	1
w5319	t87669	1
w1282	t3929	1
w180	t93433	1
w3349	t7902	0
w3197	t14101	1
w3109	t57819	0
w6259	t12987	1
w6724	t23063	1
w2917	t75647	0
w3866	t2496	0
w2380	t92187	0
